// Start Time: Unknown
// Update Rate: Various
// Filter Profile: General (1.17)
// Option Flags: AHS Enabled ICC Enabled 
// GNSS Platform: Portable
// Firmware Version: 1.4.12
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48784									0.167787	-0.052238	9.834868	0.002847	-0.001257	-0.002631	-0.035329	0.387770	1.058849			
48785									0.179930	-0.061684	9.815734	0.001556	0.000656	-0.004870	-0.037126	0.387268	1.047022			
48786									0.182192	-0.056914	9.827708	0.002189	0.000343	-0.002627	-0.030645	0.387582	1.059257			
48787									0.191808	-0.061618	9.822935	0.001544	0.001939	-0.005509	-0.030140	0.391838	1.051515			
48788									0.194106	-0.056847	9.830122	0.003815	-0.001567	-0.003594	-0.030171	0.384659	1.047632			
48789									0.186891	-0.044986	9.825329	-0.000722	0.002243	-0.000699	-0.034966	0.387373	1.051100			
48790									0.179859	-0.056926	9.820524	0.003444	0.003560	-0.005185	-0.028303	0.387488	1.059462			
48791									0.175051	-0.054574	9.822911	0.000871	0.003219	-0.001658	-0.023125	0.381951	1.046305			
48792									0.182336	-0.068812	9.820522	0.001869	-0.000300	-0.001025	-0.021186	0.387106	1.058138			
48793									0.182048	-0.042636	9.832503	0.002191	0.000022	-0.002308	-0.030050	0.391739	1.049578			
48794									0.199106	-0.059190	9.801406	-0.000089	0.003853	-0.002939	-0.030322	0.392037	1.055389			
48795									0.184634	-0.066421	9.830101	-0.001004	-0.000009	-0.003589	-0.027617	0.391545	1.047845			
48796									0.187035	-0.056884	9.818142	-0.000358	-0.000003	-0.004551	-0.028322	0.389914	1.061402			
48797									0.163102	-0.052262	9.822892	-0.001604	-0.002585	-0.005517	-0.025346	0.389125	1.048047			
48798									0.184525	-0.052141	9.830108	0.002539	-0.001901	-0.003595	-0.035076	0.389898	1.054977			
48799									0.196476	-0.061595	9.837304	0.001590	-0.001911	-0.006159	-0.032624	0.387279	1.051305			
48800									0.191736	-0.054479	9.825332	-0.000042	-0.000319	-0.002949	-0.021327	0.382453	1.058132			
48801									0.191739	-0.064002	9.834901	0.002183	0.001945	-0.005509	-0.029727	0.396194	1.045709			
48802									0.172772	-0.061725	9.815722	0.000587	0.000648	-0.002946	-0.026011	0.382641	1.057723			
48803									0.175036	-0.061717	9.832481	-0.001302	-0.000978	-0.005835	-0.027405	0.398525	1.047853			
48804									0.177421	-0.059322	9.830093	0.001546	0.000017	-0.001345	-0.023800	0.387498	1.063745			
48805									0.189334	-0.059255	9.832506	0.001239	-0.000308	-0.003270	-0.029939	0.389213	1.045701			
48806									0.191807	-0.056857	9.818150	-0.002610	0.000619	-0.003587	-0.030463	0.387383	1.055383			
48807									0.191736	-0.054479	9.825332	0.002193	0.000663	-0.004230	-0.032442	0.387080	1.047430			
48808									0.184502	-0.037857	9.818148	0.002169	0.003228	-0.005186	-0.028444	0.382834	1.059456			
48809									0.182177	-0.061676	9.834887	0.001558	0.000654	-0.005512	-0.034674	0.384649	1.043349			
48810									0.189349	-0.052112	9.822936	0.003798	0.000037	-0.003591	-0.035127	0.385145	1.053034			
48811									0.182208	-0.052152	9.820530	0.002487	0.002271	-0.002623	-0.030242	0.382333	1.047629			
48812									0.189511	-0.066390	9.815748	0.000306	-0.001282	-0.006477	-0.030605	0.382730	1.055378			
48813									0.194126	-0.063988	9.834905	0.003804	-0.001565	-0.001350	-0.029777	0.391441	1.043766			
48814									0.186947	-0.056888	9.830110	0.001249	0.000010	-0.006155	-0.030554	0.387482	1.057320			
48815									0.182155	-0.049773	9.825318	0.002168	0.002588	-0.003584	-0.034643	0.391828	1.047232			
48816									0.186965	-0.059268	9.830109	0.002191	0.000663	-0.003909	-0.025961	0.387394	1.059666			
48817									0.175066	-0.047431	9.813340	0.001554	0.000656	-0.004229	-0.034734	0.391927	1.049169			
48818									0.184684	-0.059277	9.815743	0.001558	0.000336	-0.004550	-0.021095	0.387007	1.056201			
48819									0.187145	-0.073545	9.820527	0.000269	0.000646	-0.003587	-0.025578	0.384570	1.049978			
48820									0.206286	-0.071053	9.810986	0.000238	0.002575	-0.001339	-0.021237	0.382353	1.056195			
48821									0.184667	-0.061658	9.820529	0.000928	-0.001913	-0.001029	-0.025558	0.382145	1.048038			
48822									0.196581	-0.061591	9.822943	-0.001678	0.002874	-0.003262	-0.032896	0.387577	1.057116			
48823									0.175070	-0.059334	9.825302	0.000595	0.000326	-0.003909	-0.027345	0.391248	1.042034			
48824									0.179949	-0.066445	9.818125	0.004423	0.001005	-0.002946	-0.032896	0.387577	1.057116			
48825									0.191824	-0.054475	9.813364	0.001569	-0.000626	-0.004233	-0.030262	0.384759	1.049569			
48826									0.189313	-0.047352	9.822938	0.001884	-0.001262	-0.001670	-0.018985	0.382359	1.058337			
48827									0.174994	-0.042672	9.818129	0.000912	0.001290	-0.005510	-0.027708	0.391645	1.049782			
48828									0.179736	-0.054550	9.834886	0.000270	0.000644	-0.003908	-0.021327	0.382453	1.058132			
48829									0.172576	-0.049830	9.830090	-0.001651	-0.000654	-0.000384	-0.030262	0.384759	1.049569			
48830									0.174979	-0.049815	9.827700	-0.000414	0.003527	-0.001337	-0.028303	0.387488	1.059462			
48831									0.187213	-0.068780	9.806169	0.000266	0.001287	-0.004227	-0.032553	0.389605	1.051307			
48832									0.191756	-0.061620	9.830115	0.000574	0.002252	-0.004226	-0.028141	0.389715	1.057528			
48833									0.186909	-0.047366	9.825327	0.001561	-0.001267	-0.002310	-0.027728	0.394071	1.051722			
48834									0.194176	-0.059224	9.822940	0.001241	0.000011	-0.005513	-0.019167	0.382557	1.062211			
48835									0.174998	-0.054576	9.830091	0.001553	-0.000627	-0.002308	-0.037237	0.389794	1.050899			
48836									0.167911	-0.059375	9.825290	0.002496	0.001625	-0.004226	-0.023891	0.387597	1.065682			
48837									0.182352	-0.064050	9.813344	-0.000034	-0.001603	-0.002630	-0.020843	0.389135	1.052330			
48838									0.189439	-0.059250	9.818145	0.001548	-0.000304	-0.001987	-0.023477	0.391953	1.059876			
